"genre","song_name","artist","song_popularity","song_duration_ms","acousticness","danceability","energy","liveness","loudness","speechiness","tempo","audio_valence"
"rock","In The End","Linkin Park",66,216933,0.0103,0.542,0.853,0.108,-6.407,0.0498,105.256,0.37
"rock","Seven Nation Army","The White Stripes",76,231733,0.00817,0.737,0.463,0.255,-7.828,0.0792,123.881,0.324
"rock","By The Way","Red Hot Chili Peppers",74,216933,0.0264,0.451,0.97,0.102,-4.938,0.107,122.444,0.198
"rock","How You Remind Me","Nickelback",56,223826,0.000954,0.447,0.766,0.113,-5.065,0.0313,172.011,0.574
"rock","Bring Me To Life","Evanescence",80,235893,0.00895,0.316,0.945,0.396,-3.169,0.124,189.931,0.32
"rock","Last Resort","Papa Roach",81,199893,0.000504,0.581,0.887,0.268,-3.659,0.0624,90.578,0.724
"rock","Are You Gonna Be My Girl","Jet",76,213800,0.00148,0.613,0.953,0.152,-3.435,0.0855,105.046,0.537
"rock","Mr. Brightside","The Killers",80,222586,0.00108,0.33,0.936,0.0926,-3.66,0.0917,148.112,0.234
"rock","Sex on Fire","Kings of Leon",81,203346,0.00172,0.542,0.905,0.136,-5.653,0.054,153.398,0.374
"rock","The Middle","Jimmy Eat World",78,168253,0.0424,0.629,0.897,0.263,-3.401,0.0483,161.944,0.93
"rock","Numb","Linkin Park",63,185586,0.0046,0.496,0.863,0.639,-4.153,0.0381,110.018,0.243
"rock","Smooth Criminal","Alien Ant Farm",75,209266,0.00434,0.647,0.964,0.15,-4.225,0.06,126.942,0.875
"rock","Can't Stop","Red Hot Chili Peppers",81,269000,0.0179,0.618,0.938,0.167,-3.442,0.0456,91.455,0.875
"rock","Chop Suey!","System Of A Down",69,210240,0.000353,0.42,0.929,0.122,-3.899,0.121,127.204,0.3
"rock","Take Me Out","Franz Ferdinand",77,237026,0.000423,0.278,0.676,0.136,-8.821,0.0371,104.545,0.494
"rock","I Miss You","blink-182",71,227240,0.00136,0.659,0.778,0.0841,-6.423,0.0379,110.022,0.623
"rock","Best of You","Foo Fighters",62,256600,0.00701,0.37,0.944,0.135,-4.979,0.0767,130.315,0.345
"rock","I Write Sins Not Tragedies","Panic! At The Disco",77,187613,0.0938,0.567,0.795,0.114,-4.985,0.134,170.06,0.635
"rock","Kryptonite","3 Doors Down",79,233933,0.00664,0.545,0.865,0.168,-5.708,0.0286,99.01,0.543
"rock","The Kill (Bury Me)","Thirty Seconds To Mars",69,231533,0.0014,0.309,0.912,0.582,-3.881,0.0646,183.035,0.302
"rock","Use Somebody","Kings of Leon",79,230760,0.00552,0.276,0.715,0.201,-5.356,0.0432,137.028,0.173
"rock","No One Knows","Queens of the Stone Age",13,255066,0.0137,0.518,0.538,0.141,-5.818,0.0486,170.953,0.687
"rock","Jerk It Out","Caesars",62,195666,0.0171,0.58,0.981,0.386,-2.603,0.06,134.007,0.861
"rock","Uprising","Muse",77,304840,0.000202,0.602,0.905,0.117,-4.046,0.0775,128.019,0.411
"rock","Hey There Delilah","Plain White T's",79,232533,0.872,0.657,0.291,0.114,-10.572,0.0293,103.973,0.298
"rock","Blurry","Puddle Of Mudd",28,303920,0.0102,0.44,0.932,0.142,-4.488,0.0584,157.438,0.495
"rock","American Idiot","Green Day",78,176346,2.64e-05,0.38,0.988,0.368,-2.042,0.0639,186.113,0.769
"rock","Welcome to the Black Parade","My Chemical Romance",77,311106,0.000289,0.217,0.905,0.222,-4.103,0.0752,96.95,0.236
"rock","Gives You Hell","The All-American Rejects",71,213106,0.0156,0.714,0.725,0.0726,-6.411,0.0402,99.988,0.59
"rock","All My Life","Foo Fighters",11,262733,0.000194,0.582,0.597,0.517,-5.671,0.0512,167.738,0.674
"rock","Like a Stone","Audioslave",77,293960,0.00797,0.614,0.568,0.0997,-5.477,0.0276,107.849,0.516
"rock","It's Been Awhile","Staind",65,264706,0.00189,0.509,0.774,0.143,-4.054,0.0338,116.529,0.0824
"rock","I Hate Everything About You","Three Days Grace",75,231480,0.00461,0.498,0.83,0.139,-5.157,0.0421,89.342,0.453
"rock","Rollin' (Air Raid Vehicle)","Limp Bizkit",74,213760,0.00506,0.599,0.932,0.269,-3.328,0.18,96.234,0.692
"rock","Fat Lip","Sum 41",74,178266,0.000618,0.574,0.911,0.0769,-5.176,0.0715,98.075,0.573
"rock","The Pretender","Foo Fighters",11,269373,0.000917,0.433,0.959,0.028,-4.04,0.0431,172.984,0.365
"rock","Savior","Rise Against",73,242280,0.00164,0.549,0.93,0.39,-3.468,0.0487,112.447,0.526
"rock","Bodies","Drowning Pool",74,201960,0.00347,0.656,0.932,0.144,-3.405,0.0708,130.936,0.544
"rock","Sugar, We're Goin Down","Fall Out Boy",79,229093,0.00898,0.499,0.824,0.163,-4.741,0.0794,161.977,0.699
"rock","Last Nite","The Strokes",70,193373,0.0223,0.624,0.899,0.0975,-5.71,0.0295,104.055,0.797
"rock","Through Glass","Stone Sour",60,282946,0.0417,0.545,0.753,0.389,-4.618,0.036,105.754,0.434
"rock","The Diary of Jane - Single Version","Breaking Benjamin",69,200546,5.53e-05,0.374,0.961,0.138,-4.421,0.0851,167.032,0.357
"rock","Down With the Sickness","Disturbed",73,279213,0.000996,0.695,0.876,0.106,-4.262,0.0553,89.954,0.941
"rock","Wish You Were Here","Incubus",62,212733,0.000631,0.246,0.768,0.102,-7.48,0.0387,169.873,0.35
"rock","Youth Of The Nation","P.O.D.",72,256240,0.00834,0.563,0.86,0.39,-7.533,0.0621,97.867,0.517
"rock","Vertigo","U2",57,194520,0.000153,0.391,0.831,0.141,-3.892,0.0613,139.946,0.683
"rock","Miss Murder","AFI",71,206586,0.000213,0.309,0.875,0.113,-4.49,0.0488,143.526,0.725
"rock","I Bet You Look Good On The Dancefloor","Arctic Monkeys",63,173680,0.00225,0.535,0.948,0.376,-4.19,0.0356,103.183,0.778
"rock","Steady, As She Goes","The Raconteurs",64,215266,0.0132,0.524,0.578,0.108,-4.563,0.12,123.669,0.537
"rock","Falling Away from Me","Korn",71,270920,0.00014,0.468,0.769,0.271,-7.036,0.041,104.102,0.17
"rock","Crawling In The Dark","Hoobastank",61,175026,0.000295,0.592,0.932,0.138,-4.491,0.0885,93.675,0.698
"rock","I Stand Alone","Godsmack",67,246040,4.78e-05,0.213,0.93,0.126,-4.478,0.0671,169.221,0.386
"rock","Woman","Wolfmother",63,176306,5.1e-05,0.219,0.952,0.157,-3.621,0.176,112.886,0.172
"rock","Show Me How to Live","Audioslave",72,277840,0.000336,0.433,0.854,0.162,-3.868,0.0483,89.4,0.368
"rock","The Red","Chevelle",71,238400,0.000671,0.509,0.843,0.348,-3.318,0.0488,140.055,0.332
"rock","Remedy","Seether",70,207213,0.00018,0.546,0.959,0.0584,-4.664,0.082,127.831,0.416
"rock","Plug In Baby","Muse",65,218000,6.94e-06,0.408,0.965,0.11,-4.232,0.05,136.018,0.349
"rock","Change (In the House of Flies) - In The House Of Flies LP Version","Deftones",69,299533,0.000249,0.269,0.853,0.118,-4.647,0.0854,141.581,0.179
"rock","Judith","A Perfect Circle",66,247266,3.32e-05,0.365,0.894,0.267,-4.682,0.0572,82.305,0.31
"pop","Crazy In Love","Beyoncé",79,236133,0.00249,0.646,0.77,0.0715,-6.596,0.226,99.165,0.681
"pop","Rock Your Body","Justin Timberlake",74,267266,0.202,0.891,0.714,0.0521,-6.055,0.14,100.972,0.818
"pop","Beautiful Girls","Sean Kingston",10,241933,0.159,0.745,0.666,0.302,-5.899,0.0566,129.995,0.708
"pop","Toxic","Britney Spears",60,198813,0.0279,0.774,0.847,0.241,-3.925,0.121,143.011,0.923
"pop","Michael Jackson x Mark Ronson: Diamonds are Invincible","Michael Jackson",70,300026,0.342,0.672,0.832,0.242,-2.388,0.342,117.298,0.549
"pop","Yeah!","Usher",79,250373,0.0183,0.894,0.791,0.0388,-4.699,0.112,105.018,0.583
"pop","Live Your Life (feat. Rihanna)","T.I.",76,338853,0.071,0.375,0.862,0.211,-3.363,0.255,159.841,0.478
"pop","Hips Don't Lie","Shakira",84,218093,0.284,0.778,0.824,0.405,-5.892,0.0712,100.024,0.756
"pop","Hey, Soul Sister","Train",77,216666,0.217,0.675,0.885,0.086,-4.432,0.0436,97.03,0.768
"pop","Pumped Up Kicks","Foster The People",84,239600,0.145,0.733,0.71,0.0956,-5.849,0.0292,127.975,0.965
"pop","Love Never Felt so Good","Michael Jackson",74,246026,0.132,0.775,0.719,0.0662,-6.212,0.0435,117.513,0.712
"pop","Hall of Fame","The Script",73,202533,0.0653,0.421,0.873,0.123,-4.343,0.0565,84.803,0.63
"pop","All of Me","John Legend",85,269560,0.922,0.422,0.264,0.132,-7.064,0.0322,119.93,0.331
"pop","Drops of Jupiter","Train",78,259933,0.154,0.468,0.64,0.154,-5.862,0.0275,79.297,0.499
"pop","We Can't Stop","Miley Cyrus",78,231240,0.00882,0.613,0.622,0.37,-5.794,0.0334,80.003,0.484
"pop","Fighter","Christina Aguilera",69,245960,0.235,0.435,0.92,0.552,-1.357,0.201,188.899,0.45
"pop","Since U Been Gone","Kelly Clarkson",75,188960,0.00165,0.662,0.741,0.114,-5.406,0.0334,131,0.404
"pop","Hey Ya! - Radio Mix / Club Mix","OutKast",76,235213,0.103,0.728,0.974,0.175,-2.261,0.0665,79.526,0.965
"pop","TiK ToK","Kesha",71,199693,0.0746,0.755,0.832,0.291,-2.741,0.116,120.032,0.735
"pop","Look At Me Now","Chris Brown",71,223933,0.0439,0.764,0.694,0.18,-5.745,0.189,146.075,0.581
